"filename", "language", "TypeScript", "JSON", "JSON with Comments", "CSS", "JavaScript", "TypeScript JSX", "Markdown", "YAML", "HTML", "XML", "comment", "blank", "total"
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\REACT.TYPESCRIPT.VITE.md", "Markdown", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 10, 55
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\app\global\facebook.3d.type.js", "JavaScript", 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 28, 27, 158
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\app\global\filter.blur.js", "JavaScript", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 153, 8, 196
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\app\global\footer.script.ts", "TypeScript", 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 27, 174
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\app\global\glitch.ts", "TypeScript", 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 32, 210
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\app\global\mobile.ts", "TypeScript", 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 24, 173
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\app\global\return.home.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 20
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\app\global\scroll.elem.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\eslint.config.js", "JavaScript", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 2, 29
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 3, 63
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\package.json", "JSON", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 38
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 1716, 0, 0, 0, 494, 2210
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 5, 10, 80
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\src\components\pages\documentation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1053, 0, 0, 0, 0, 25, 1, 1079
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\src\components\pages\download.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 71
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\src\components\pages\extensions.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 170, 0, 0, 0, 0, 7, 8, 185
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\src\components\pages\feature.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 120, 0, 0, 0, 0, 11, 3, 134
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\src\components\pages\home.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 2, 6, 78
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\src\components\pages\pricing.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 125, 0, 0, 0, 0, 0, 6, 131
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\src\components\pages\version.history.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 3, 4, 68
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\src\components\script\doc.expand.action.script.ts", "TypeScript", 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 41, 217
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\src\components\script\download.redirect.ts", "TypeScript", 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 32, 204
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\src\components\script\home.anim.ts", "TypeScript", 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 24, 219
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\src\components\script\latest.banner.ts", "TypeScript", 263, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 52, 348
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\src\index.css", "CSS", 0, 0, 0, 164, 0, 0, 0, 0, 0, 0, 8, 20, 192
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\src\root.css", "CSS", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 8, 76
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\src\styles\documentation.css", "CSS", 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 129
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\src\styles\download.css", "CSS", 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 5, 2, 127
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\src\styles\extension.css", "CSS", 0, 0, 0, 258, 0, 0, 0, 0, 0, 0, 0, 41, 299
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\src\styles\features.css", "CSS", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 59
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\src\styles\home.css", "CSS", 0, 0, 0, 160, 0, 0, 0, 0, 0, 0, 4, 2, 166
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\src\styles\mobile.css", "CSS", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 8, 68
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\src\styles\pricing.css", "CSS", 0, 0, 0, 167, 0, 0, 0, 0, 0, 0, 4, 27, 198
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\src\styles\responsive.css", "CSS", 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 4, 4, 90
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\src\styles\version.history.css", "CSS", 0, 0, 0, 353, 0, 0, 0, 0, 0, 0, 23, 41, 417
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\tailwind.config.js", "JavaScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 0, 11
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\tsconfig.app.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 28
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\tsconfig.json", "JSON with Comments", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\tsconfig.node.json", "JSON", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 26
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\vite.config.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 1112, 81, 7, 1620, 175, 1746, 45, 1716, 60, 2, 509, 988, 8061